district,Value,Growth %
Siddipet,108%,Electric_Growth %
Karimnagar,110%,Diesel_Growth %
Vikarabad,110%,Doc_Growth %
Jogulamba Gadwal,116%,Doc_Growth %
Rajanna Sircilla,116%,Doc_Growth %
Mulugu,119%,Inv_Growth_%
Nirmal,119%,Doc_Growth %
Suryapet,120%,Doc_Growth %
Nagarkurnool,121%,Electric_Growth %
Hyderabad,121%,Doc_Growth %
Medak,123%,Electric_Growth %
Rangareddy,124%,Doc_Growth %
Nagarkurnool,125%,Doc_Growth %
Hanumakonda,126%,Doc_Growth %
Siddipet,132%,Doc_Growth %
Jagtial,133%,Doc_Growth %
Sangareddy,135%,Doc_Growth %
Jagtial,136%,Electric_Growth %
Suryapet,145%,Inv_Growth_%
Nizamabad,146%,Doc_Growth %
Khammam,147%,Doc_Growth %
Mahabubabad,148%,Doc_Growth %
Peddapalli,148%,Doc_Growth %
Wanaparthy,151%,Doc_Growth %
Sangareddy,153%,Electric_Growth %
Karimnagar,153%,Doc_Growth %
Medchal_Malkajgiri,153%,Doc_Growth %
Jogulamba Gadwal,157%,Electric_Growth %
Mancherial,165%,Doc_Growth %
Medchal_Malkajgiri,166%,Electric_Growth %
Kumurambheem Asifabad,167%,Inv_Growth_%
Bhadradri Kothagudem,168%,Doc_Growth %
Peddapalli,181%,Electric_Growth %
Yadadri Bhuvanagiri,185%,Electric_Growth %
Nalgonda,189%,Electric_Growth %
Mahabubabad,190%,Inv_Growth_%
Adilabad,194%,Doc_Growth %
Medak,209%,Inv_Growth_%
Hyderabad,209%,Electric_Growth %
Vikarabad,214%,Inv_Growth_%
Nirmal,227%,Inv_Growth_%
Rangareddy,230%,Electric_Growth %
Nirmal,235%,Electric_Growth %
Mulugu,262%,Doc_Growth %
Karimnagar,268%,Electric_Growth %
Nalgonda,284%,Inv_Growth_%
Siddipet,293%,Inv_Growth_%
Hyderabad,294%,Inv_Growth_%
Jangoan,320%,Electric_Growth %
Kumurambheem Asifabad,356%,Electric_Growth %
Suryapet,356%,Electric_Growth %
Jayashankar Bhupalpally,453%,Electric_Growth %
Mahabubabad,486%,Electric_Growth %
Jangoan,513%,Inv_Growth_%
Khammam,607%,Electric_Growth %
Yadadri Bhuvanagiri,655%,Inv_Growth_%
Bhadradri Kothagudem,693%,Electric_Growth %
Jogulamba Gadwal,792%,Inv_Growth_%
Kamareddy,1551%,Inv_Growth_%
Nagarkurnool,2255%,Inv_Growth_%
Mancherial,2827%,Inv_Growth_%
Wanaparthy,6983%,Inv_Growth_%
Narayanpet,34577%,Inv_Growth_%
Hanumakonda,0.00%,Inv_Growth_%
Hanumakonda,0.00%,Diesel_Growth %
Mulugu,0.00%,Diesel_Growth %
Narayanpet,0.00%,Diesel_Growth %
Hanumakonda,0.00%,Electric_Growth %
Mulugu,0.00%,Electric_Growth %
Narayanpet,0.00%,Electric_Growth %
Hanumakonda,0.00%,Petrol_Growth %
Mulugu,0.00%,Petrol_Growth %
Narayanpet,0.00%,Petrol_Growth %
Jayashankar Bhupalpally,0.00%,Doc_Growth %
Jayashankar Bhupalpally,0.00%,E_Doc_Growth%
